No.	Music	Author
1	Waltz in E flat”Grande Valse Brillante”Op.18	Frédéric François Chopin
2	Moments Musicaux	Franz Peter Schubert
3	Bagatelle “Für Elise” WoO.59	Ludwig van Beethoven
4	The Preludes Op. 28 No.15	Frédéric François Chopin
5	Turkish March	Ludwig van Beethoven
6	Blumenlied Op.39	Gustav Lange
7	Nocturne	Frédéric François Chopin
8	Spinnerlied Op.14 No.4	Albert Ellmenreich
9	String Quartet in F major Op.3 No.5 Serenade	Franz Peter Schubert
10	Wiegenlied	Johannes Brahms
11	Solvejgs Lied	Edvard Hagerup Grieg
12	Anitras Dans	Edvard Hagerup Grieg
13	Traumerei	Robert Alexander Schumann
14	Menuett No.2 in G maj	Ludwig van Beethoven
15	Aida Fernando Corena	Giuseppe Fortunino Francesco Verdi
16	William Tell Overture	Gioachino Antonio Rossini
17	Carmen	Georges Bizet
18	Andante religioso	Jules Emile Frédéric Massenet
19	Tannhauser Overture	Wilhelm Richard Wagner
20	La Traviata Brindisi	Giuseppe Fortunino Francesco Verdi
21	Plaisir d’Amour	Jean Paul Egide Martini
22	Ellens Gesang III Op.52-6 D.839	Franz Peter Schubert
23	Die Meistersinger von Nurnberg Prelude	Wilhelm Richard Wagner
24	Orpheé aux Enfers Overture	Jacques Offenbach
25	L’arlesienne Suite No.2 Farandole	Georges Bizet
26	Overture No.3 BWV.1068 Air on a G string	Johann Sebastian Bach
27	Peer Gynt Suite No.1 Op.46 Morgenstemning	Edvard Hagerup Grieg
28	Le carnaval des animaux Le Cygne	Charles Camille Saint-Saëns
29	Greensleeves	unknown
30	3 Gymnopedies No.1	Erik Alfred Leslie Satie
31	Sinfonie Nr.9 d moll Op.125 4.Satz An die Freude	Ludwig van Beethoven
32	The Nutcracker Suite Op.71a No.8 Waltz of the Flowers	Pyotr Il’yich Tchaikovsky
33	Swan Lake Op.20 No.9 Finale	Pyotr Il’yich Tchaikovsky
34	Water Music in D major HWV 349 No.11 Alla Hornpipe	Georg Friedrich Händel
35	Ombra mai fü HWV 40	Georg Friedrich Händel
36	Estudiantina Op.191	Émile Waldteufel
37	Sonate für Klavier Nr.48 C dur Op.30-1 Mov.1	Franz Joseph Haydn
38	Sonate für Klavier Nr.15 C dur K.545 Mov.1	Wolfgang Amadeus Mozart
39	Andante C dur	Franz Joseph Haydn
40	Alpengluhen Op.193	Theodor Oesten
41	Children’s Album Op.39-18 Air de Danse napolitaine	Pyotr Il’yich Tchaikovsky
42	Children’s Album Op.39-9 Valse	Pyotr Il’yich Tchaikovsky
43	Les Contes d’Hoffmann Barcarolle	Jacques Offenbach
44	Rosamunde Prinzessin von Zypern Op.26 D797 Intermezzo No.3	Franz Peter Schubert
45	Gianni Schicchi O mio babbino caro	Giacomo Antonio Domenico Michele Secondo Maria Puccini
46	Dichterliebe Op.48-1 Im wunderschönen Monat	Robert Alexander Schumann
47	Le Nozze di Figaro ＫＶ492 Voi che sapete	Wolfgang Amadeus Mozart
48	Rigoletto La donna È mobile	Giuseppe Fortunino Francesco Verdi
49	The Planets Op.32 Jupiter, the Bringer of Jollity	Gustav Holst
50	Amazing Grace	unknown
51	Fantasiestücke Op.12-2 Aufschwung	Robert Alexander Schumann
52	Fantasiestücke Op.12-7 Traumes Wirren	Robert Alexander Schumann
53	Lieder ohne Worte Op.19-3 Jägerlied	Jakob Ludwig Felix Mendelssohn Bartholdy
54	Suite HWV 430 Air mit Variationen Harmonious Blacksmith	Georg Friedrich Händel
55	Farewell To The Piano WoO.62	Ludwig van Beethoven
56	Le Coucou	Louis-Claude Daquin
57	Waves of the Danube	Iosif Ivanovici
58	Waltzes No.6 Op.64-1 Des dur Valse du Petit Chien	Frédéric François Chopin
59	Schwanengesang No.1 Op.72-4 D.957-4 Ständchen	Franz Peter Schubert
60	Má Vlast Moldau	Bedřich Smetana
61	Album für die Jugend Op.68-10 Frohlicher Landmann	Robert Alexander Schumann
62	Doll’s Dreaming and Awakening Op.202	Theodor Oesten
63	25 Etudes faciles et progressives, conposées et doigtées expressément pour l’étendue des petites mains Op.100-2 Arabesque	Johann Friedrich Franz Burgmuller
64	Stimmen aus der Kinderwelt 12 leichte Vortragsstück Op.78-3 Heideröslein	Gustav Lange
65	25 Etudes faciles et progressives, conposées et doigtées expressément pour l’étendue des petites mains Op.100-20 Tarentelle	Johann Friedrich Franz Burgmuller
66	The Nutcracker Suite Op.71a No.2 March	Pyotr Il’yich Tchaikovsky
67	Ballade g moll Op.23	Frédéric François Chopin
68	12 Etudes E dur Op.10-3	Frédéric François Chopin
69	Kanon und Gigue D dur für drei Violinen und Basso Continuo Kanon	Johann Pachelbel
70	Herz und Mund und Tat und Leben BWV147-6 Wohl mir, daß ich Jesum habe	Johann Sebastian Bach
71	Messiah HWV.56 23.Hallelujah	Georg Friedrich Händel
72	Préludes 1 La fille aux cheveux de lin	Claude Achille Debussy
73	Pavane pour une infante défunte	Joseph-Maurice Ravel
74	8 Humoresky Op.101-7 B.187 Ges dur	Antonín Leopold Dvořák
75	Sicilienne Op.78	Gabriel Urbain Fauré
76	Salut d’amour Op.12	Sir Edward William Elgar
77	Violinkonzert e moll Op.64 1.Satz	Jakob Ludwig Felix Mendelssohn Bartholdy
78	Concerti a 4 e 5 Il cimento dell’armonia e dell’inventione Op.8 Le quattro stagioni Concerti Nr.1E dur RV.269 La Primavera	Antonio Lucio Vivaldi
79	Eine kleine Nachtmusik G dur K.525 1.Satz	Wolfgang Amadeus Mozart
80	Symphonie Nr.40 g moll KV.550 1.Satz	Wolfgang Amadeus Mozart
